Nama Tempat,Alamat,Rating,Jumlah Review,Ketersediaan Telepon,Website,Latitude,Longitude,Aksesibilitas Difabel,Jenis Tempat,Kota/Kabupaten,24 Jam,Jam Buka,Jam Tutup,Status Operasional,Telepon,Skor Aksesibilitas,Status Aksesibilitas
Masjid Jami' As Salam,"Jl. Budi, Cilember, Pasirkaliki, Kec. Cimahi Utara, Kota Cimahi","4,8",740,Ada,Tidak Tersedia,-6.8844708,107.5634524,,Masjid,Kota Cimahi,FALSE,4:30,22:50,Normal,83862443883,0,Tidak Tersedia
Masjid Al-Munawaroh,"Jl. Rancabentang No.308, RW.02, Cibeureum, Kec. Cimahi Sel., Kota Cimahi","4,7",1020,Tidak Ada,Tidak Tersedia,-6.907213,107.558054,,Masjid,Kota Cimahi,TRUE,0:00,23:59,24 jam,,0,Tidak Tersedia
Masjid Assalamah,"Gg. Masjid, Cigugur Tengah, Kec. Cimahi Tengah, Kota Cimahi","4,6",200,Tidak Ada,Tidak Tersedia,-6.8883154,107.5489003,,Masjid,Kota Cimahi,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid Nurul Palad,"Jl. Baru Munajan, Baros, Kec. Cimahi Tengah, Kota Cimahi","4,7",610,Tidak Ada,Tidak Tersedia,-6.8889686,107.5441126,,Masjid,Kota Cimahi,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid Al Ihsan Baros Cimahi,"Jl. Baros Utama No.29, Utama, Kec. Cimahi Sel., Kota Cimahi","4,9",150,Ada,Tidak Tersedia,-6.8947834,107.5372357,,Masjid,Kota Cimahi,FALSE,4:00,22:00,Normal,89502377182,0,Tidak Tersedia
Masjid Jami' Nurul Hidayah,"Melong, Kec. Cimahi Sel., Kota Cimahi","4,8",540,Tidak Ada,Tidak Tersedia,-6.923439,107.5560571,,Masjid,Kota Cimahi,FALSE,4:00,21:15,Normal,,0,Tidak Tersedia
Masjid Al Hikmah,"Jl. Sirnarasa, Cibabat, Kec. Cimahi Utara, Kota Cimahi","4,9",190,Tidak Ada,Tidak Tersedia,-6.8772252,107.5540728,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']",Masjid,Kota Cimahi,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid Jami' As-Salam,"Citeureup, Kec. Cimahi Utara, Kota Cimahi","4,6",180,Tidak Ada,Tidak Tersedia,-6.8693268,107.5549129,,Masjid,Kota Cimahi,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid Al Qoyyuum,"Jl. Sukimun No.28, Baros, Kec. Cimahi Tengah, Kota Cimahi","4,7",310,Ada,Tidak Tersedia,-6.8889398,107.5401657,,Masjid,Kota Cimahi,TRUE,0:00,23:59,24 jam,85798625200,0,Tidak Tersedia
Masjid habiburahman,"Jl. Raya Cimindi No.timur, Cibeureum, Kec. Cimahi Sel., Kota Cimahi","4,4",280,Ada,Tidak Tersedia,-6.89987,107.5622117,,Masjid,Kota Cimahi,FALSE,4:00,22:00,Normal,85860522791,0,Tidak Tersedia
Masjid AT TAQWA,"Baros, Kec. Cimahi Tengah, Kota Cimahi","4,7",340,Tidak Ada,Tidak Tersedia,-6.8950107,107.5404627,,Masjid,Kota Cimahi,TRUE,0:00,23:59,24 jam,,0,Tidak Tersedia
Masjid Al-Barokah,"Jl. HMS Mintareja Sarjana Hukum No.37, Baros, Kec. Cimahi Tengah, Kota Cimahi","4,9",270,Tidak Ada,Tidak Tersedia,-6.8937659,107.5414532,['Tidak memiliki pintu masuk khusus pengguna kursi roda'],Masjid,Kota Cimahi,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
HKBP Ressort Cimahi Jl. Sisingamangaraja,"Jl. Sisingamangaraja Kel.Padasuka No.174, Setiamanah, Kec. Cimahi Tengah, Kota Cimahi","4,6",2040,Ada,Tersedia,-6.8755656,107.5368173,,Gereja Protestan,Kota Cimahi,FALSE,4:41,19:11,Normal,226646339,0,Tidak Tersedia
GPdI Bukit Hermon,"Jl. Mahar Martanegara No.103, Cigugur Tengah, Kec. Cimahi Tengah, Kota Cimahi","4,7",1370,Ada,Tersedia,-6.8992965,107.5517264,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']",Gereja Umum,Kota Cimahi,FALSE,4:41,19:11,Normal,2220560199,2,Aksesibilitas Difabel Terbatas
